#afm_tbls.table_name,table_type,is_sql_view,title,comments,afm_module,title_02,title_01,title_zh,title_nl,title_es,title_ch,title_ko,title_de,title_fr,title_it,title_no,title_03,title_jp,default_view
afm_flds_trans,PROJECT DATA,0,ARCHIBUS Fields Definition Transfer,v19.1 ProjUpWiz,0,,,,,,,,,,,,,,
afm_transfer_set,PROJECT DATA,0,ARCHIBUS Transfer Set,v19.1 ProjUpWiz,0,,,,,,,,,,,,,,
