#afm_tbls.table_name,comments,afm_module,title,is_sql_view,title_ch,title_de,title_fr,title_it,title_es,title_jp,title_ko,title_no,title_nl,title_zh,title_01,title_02,title_03
#6 records written,,,,,,,,,,,,,,,,,
activity_log_step_waiting,Service Desk,1,Activity Log Pending Steps,1,,,,,,,,,,,,,
activity_log_hactivity_log,Service Desk,1,All Action Items,1,,,,,,,,,,,,,
activity_logview,Service Desk,4,Action Items View,1,,,,,,,,,,,,,
hactivity_logmonth,Service Desk,4,Archived Action Items per Month/Week,1,,,,,,,,,,,,,
wr_step_waiting,Service Desk,4,Work Request Pending Steps,1,,,,,,,,,,,,,
hwr_month,Service Desk,1,Archived Work Requests per Month/Week,1,,,,,,,,,,,,,
