#afm_tbls.table_name,comments,afm_module,title,is_sql_view,title_ch,title_de,title_fr,title_it,title_es,title_jp,title_ko,title_no,title_nl,title_zh,title_01,title_02,title_03
#3 records written,,,,,,,,,,,,,,,,,
wohwo,SQL view combining wo and hwo,4,All Work Orders,1,,,,,,,,,,,,,
wrhwr,SQL view combining wr and hwr,4,All Work Requests,1,,,,,,,,,,,,,
wrview,SQL view with status_sort,4,Work Requests,1,,,,,,,,,,,,,
